id,name,end_page,section_id,level_id,created_at,updated_at,writer,publisher,start_page,link,brief,language_id,type_id
2,ما لم يخبرني به أبي عن الحياة,226,1,1,11/28/2022 2:09,4/20/2023 17:44,كريم الشاذلي,دار أجيال للنشر والتوزيع,1,https://www.osboha180.com/rack/bookDesc?id=2,ما لم يخبرني به أبي عن الحياة! نظرة إلى دروس لقنتني إياها الحياة، ووقفة تأمل لما تخبرنا به الأيام، مشاهدات لمواقف تاريخية، وتدبر لما مر بالسابقين.. حاولت أن أجمع بين دفتي هذا السِفر ما يساعدك في حياتك، ويلهمك الصواب، ويعينك على شدائد الحياة وآلامها.. وما كان دوري فيها سوى التأمل والملاحظة، ثم التسجيل.. ليس لي ثمة فضل اللهم إلا أن قطفت الحكمة، واختزلتها لك، ناثرا فوقها شيئا من تأملاتي وخواطري.. وسعادتي ستصبح بلا حدود حينما تأخذ مني هذه الهدية، وتُعمل فيها عقلك، وتخرج منها أفكارك وتأملاتك الخاصة..,1,1
3,ادرس بذكاء وليس بجهد,231,1,1,11/28/2022 2:09,4/21/2023 0:38,كيفن بول,مكتبة جرير,1,https://www.osboha180.com/evaluation/books/3.pdf,بواسطة إتقان المبادئ السبعة الأساسية لمهارات الاستذكار المعروض في الكتاب ، يمكنك أن تنفذ إلى قدراتك الكامنة بداخلك للوصول إلى أقصى أداء يمكنك تحقيقه ولتتمتع بقدرة أكثر على التعلم هذا الدليل العلمي مثالي للجميع ، سواء كنت طالباً تهدف للالتحاق بمركز الدراسات التكميلية بعد الحصول على الشهادة العليا أو ببرنامج دراسات ما بعد التخرج ، أو كنت تهدف لاجتياز اختبارك التالي ، أو كنت شخصاً يعمل بالفعل وتسعى لتحقيق أهداف مختلفة فإن تطبيق التمرينات العلمية والاقتباسات التحفيزية تجعل تأثير العمل المنزلي فعالا اًوتأثيره النافع فورياً,1,1
4,الإسلام بين الشرق والغرب,397,2,2,11/28/2022 2:09,4/15/2023 5:37,علي عزت بيجوفيتش,مؤسسة بافاريا للنشر والإعلام,47,https://www.osboha180.com/evaluation/books/31.pdf,"ليس كتاب ""الإسلام بين الشرق والغرب"" كتابًا بسيطًا يمكن للقارئ أن يتناوله مسترخيًا، أو يقتحمه في أي موضع فيقرأ صفحة هنا وصفحة هناك ثم يظن أنه قد فهم شيئًا أو أنه قادر على تقييمه أو تصنيفه بين الأنماط الفكرية المختلفة. إنما على القارئ الجاد أن يحتشد له ويتهيأ للدخول لا في عالم كتاب ثري بأفكاره متميز بمنهجه أخّاذ بأسلوبه وقوة منطقه وثقافة صاحبه العميقة الواسعة. فمؤلف الكتاب متمكن من الثقافتين الإسلامية والغربية معًا. فهو مسلم حتى النخاع وأوروبي بالمولد والنشأة والتعليم. لقد استوعب الفكر الغربي ولكنه لم يفرق فيه. ولم يجهل أو يتجاهل مواطن القوة وجوانب الضعف والتناقض والقصور. واستطاع ""علي عزت بيجو فيتش"" بقدرته التحليلية أن يطالع القارئ على حقائق عن الإسلام ومؤسساته وتعاليمه لم تستلفت انتباه أحد من ذي قبل. ويتسق منهجه التحليلي في تقصي الحقائق مع هدفه الذي عبر عنه بقوله: ""لكي نفهم العالم فهمًا صحيحًا لا بد أن نعرف المصادر الحقيقية للأفكار التي تحكم هذا العالم وأن نعرف معانيها"". وللمؤلف أفكار مفاهيم جديدة ويستخدم مصطلحات مألوفة في معان جديدة غير مألوفة. فهو مثلاً عندما يتحدث عن ""الدين"" لا يشمل بهذا المصطلح الإسلام، وإنما يقصره على مفهومه عند الغربيين سواء من الذين اتبعوه أو الذين هدموه. فهو تعبير عن علاقة شخصية تأميلية بين الإنسان وبين ربّه ولا شأن له بالدنيا أو بأمور الحياة. وعندما يتحدث عن الإسلام، فإنه يتحدث عنه في إطار الفكرة الجديدة التي ابتدعها وهي فكرة ""الوحدة ثنائية القطب"" التي تضم في مركب جديد القضيتين المتصادمتين المنفصلتين في العقل الغربي، أولاهما: الروح والمادة، السماوي والأرضي، الانساني والحيواني، الدين والدنيا، هذه الثنائية الكامنة في طبيعة الإسلام هي التي مكنته من أن يجمع بين المتناقضتين في كيان واحد. ويؤكد المؤلف بتحليلاته الوثيقة أن الفشل الذي أصاب الايديولوجيات الكبرى في العالم، إنما يرجع إلى نظرتها إلى الإنسان والحياة نظرة ""أحادية الجانب"" شطرت العالم شطرين متصادمين بين مادية ملحدة وكاثوليكية معرفة في الأسرار، ينكر كل واحد منهما الآخر ويدينه بلا أمل في لقاء. ولكن المؤلف خلال تحليله للفكر الغربي-يقع على نموذج تتميز فيه محاولة للتركيب بين النقيضين، وقد وجد ذلك متمثلاً في تقاليد الفكر الإنكليزي بصفة خاصة وفي العالم الانجلوسكسوني بصفة عامة، مسماه (الطريق الثالث خارج الإسلام) وعقد له فصلاً خاصًا في نهاية الكتاب. ويرى المؤلف في هذا الاتجاه سعيًا نحو ما يسميه ""الإسلام الفطري"" وإن كان دون قصد أو وعي. ولكنه يشير إلى حقائق تاريخية ذات دلائل هامة حيث يتتبع أصول الفكر الإنجليزى منذ ""روجر بيكون"" وينسبها إلى أصول إسلامية لا يمكن إنكارها. إن منهج ""علي عزت"" وتحليله لمفاهيم أخرى خلال القسم الأول من الكتاب أوصله إلى حقائق ربما تصدم القارئ لأول وهلة. بل إنه يتطرق إلى موضوعات ربما إبقاء القارئ العربي أن يطرحها جانبًا وهو يتناول قضية الدين ولكن علي عزت بنظرته الثاقبة يكشف عن عناصر دينية في موضوعات مثل: الفن والدراما، القانون وعلم الأخلاق وحتى الفلسفات الوجودية والعدمية. ويلفت المؤلف انتباه القارئ إلى أن عداء الغرب الحالي للإسلام ليس مجرد امتداد للعداء التقليدي والصدام الحضاري المسلح بين الإسلام والغرب منذ الحملات الصليبية، وإنما يرجع إلى تجربته التاريخية الخاصة مع الدين، وإلى عجزه عن فهم الإسلام لسببين جوهريين، وهما طبيعة العقل الأوروبي ""أحادي النظرة""، وإلى قصور اللغات الأوروبية عن استيعاب المصطلحات الإسلامية. وضرب لذلك مثالاً بمصطلحات الصلاة والزكاة والوضوء والخلافة والأمة حيث لا يوجد ما يقابلها في المعنى باللغات الأوروبية، وهو عندما يتحدث عن اليهودية أو المسيحية، فإنه يتحدث عنهما من واقع الصورة التي تعكسها الكتابات المصدرية التي اعتمدها أصحاب الديانتين أنفسهم، وعندما يتحدث عن عيسى وموسى عليهما السلام، فإنه يتحدث عن الشخصيتين كما صورهما أتباع عيسى وموسى. ومنطقه أنهما بهذه الصورة، فقط، كأن تأثيرهما التاريخي في العالم، بصرف النظر عن حقيقة ما ورد بشأنهما في القرآن الكريم مما لا يجهله المؤلف. وينهي ""علي عزت"" كتابه بتسبيحة بالغة الدلالة على موقفه النفسي تجاه المحن والخطوب التي تنزل بها الأقدار.",1,1
5,أيقظ قدراتك,148,1,1,11/28/2022 2:09,4/15/2023 2:24,ابراهيم الفقي,دار الراية,1,https://www.osboha180.com/evaluation/books/32.pdf,"كتاب ايقظ قدراتك واصنع مستقبلك مقسم إلى حزئين الأول : و هو إيقاظ القدرات , سرد المؤلف العديد من قصص النجاح المهمة والخطوات العملية التي توصلنا إلى إيقاظ قدراتنا الكامنة وتنميتها وإظهارها لاستغلالها والثاني : هو عن صناعة المستقبل وكيف يمكن للإنسان أن يصنع مستقبله ويحقق أهدافه بالتعلم والشجاعة والصبر .. أي شيء تقوله لنفسك سوف تصدقه وبعد ذلك يصبح ذلك الشيء جزء منك إن الرغبة المشتعلة تكون دائما في عيني الشخص الناجح بدون الإدراك لن يحدث تغيير إن أي شيء تفكر فيه يتسع وينتشر من نفس النوع وينجذب إليك من نفس النوع يجب ان تعطي الناس ما يريدون … لا ما تريده أنت القتلة الثلاث : اللوم – النقد – المقارنة طالما الذي تفعله لايوصلك إلى الذي تريده فسيحدث لك الإكتئاب تخلى عن الأحاسيس السلبية واستخدم المهارة إذا كنت تريد أن تغيّر في حياتك فابدأ بتنظيف نفسك من الداخل ورتب مابداخلك وخارجك",1,1
6,طبائع الاسبتداد ومصارع الاستعباد,193,3,2,11/28/2022 2:09,4/5/2023 22:32,عبد الرحمن الكواكبي,دار النفائس,1,https://www.osboha180.com/rack/bookDesc?id=6,كتاب طبائع الاستبداد ومصارع الاستعباد من أشهر الكتب على الإطلاق فى مجال الحريّات، حيث أنّ الكتاب يعالج مسألة الاستبداد السّياسيّ، وهو أمر كان منتشراً إلى وقت قريب في معظم الدّول العربيّة. وتميّز عبد الرحمن الكواكبيّ بأنّه قد وضع يده على أصل الدّاء وهو تركيز السّلطة في يد شخصٍ واحدٍ أو حزبٍ أو جماعةٍ بشكلٍ مطلقٍ، وعدم إشراك الشّعب والعامّة في أمور بلدهم، فالسّلطة المطلقة مفسدة مطلقة.,1,1
7,زنزانة,433,4,1,11/28/2022 2:09,4/18/2023 17:56,سلمان العودة,مؤسسة الإسلام اليوم,1,https://www.osboha180.com/evaluation/books/34.pdf,"إن العادات والتقاليد سواء كانت ردود أفعال أو تصرفات لا ينتبه الإنسان إليها بمثابة ""زنزانة"" يبقى الإنسان حبيساً بداخلها طوال الوقت، فالعادات الداخلية والظروف المحيطة بالإنسان تمثل 95% من حياته، فهى تحبسه فى ""زنزانة"" صنعها بيده. وفى هذا الكتاب يسلط ""دكتور سلمان العودة"" الضوء على هذه الزنزانة فى محاولة لدفع الإنسان للخروج منها، فالكتاب يحتوى على قصص من التراث الإسلامى والسنة النبوية والتجارب البشرية تعين الإنسان على تحرير نفسه من تلك الزنزانة.",1,1
8,هكذا ظهر جيل صلاح الدين,421,5,3,11/28/2022 2:09,4/15/2023 17:11,ماجد الكيلاني,دار القلم,1,https://www.osboha180.com/evaluation/books/35.pdf,"المصادر التاريخية الأصلية التي أرّخت للأحداث التي يتناولها هذا البحث، والتراث الثقافي الذي ينقل صورة المجتمع الذي عاصرها، والآثار التي تركها الذين عاصروا تلك الوقائع وشاركوا فيها, تبين بوضوح أن صلاح الدين لم يكن في بدايته سوى خامة من خامات جيل جديد، مر في عملية تغيير غيرت ما بأنفس القوم من أفكار وتصورات وقيم وتقاليد وعادات، ثم بوأتهم أماكنهم التي تتناسب مع استعدادات كل فرد وقدراته النفسية والعقلية والجسدية، فانعكست آثار هذا التغيير على أحوالهم السياسية والاقتصادية والاجتماعية والعسكرية، وسددت ممارستهم ووجهت نشاطاتهم. والذين قادوا عملية التغيير هم أناس عاشوا قسوة الأحداث، وتجرعوا مرارة التجارب والأخطاء والإغراق في الفكر والممارسات العملية، وذاقوا حلاوة الإصابة وخلصوا من ذلك كله إلى تغييرها بأنفسهم أولا ثم إلى بلورة تصورات معينة واستراتيجية خاصة انتهت بهم إلى وجوب تكامل الميادين والتخصصات والى تضافر جميع الهيئات والجماعات. وبعد ذلك كله مضوا في تنفيذ هذه الاستراتيجية طبقا لخطوات مرحلية متنافسة مقدرة في انتهوا إلى الخطوة الأخيرة. وهي إعلان التعبئة العامة والجهاد العسكري. وكان مقدار النجاح الذي حققوه في جهادهم متناسبا مع درجة الصواب والإخلاص في استراتيجياتهم. ولا شك أن وقوف القارئ على تفاصيل هذا التغيير ومظاهره ومراحله التي جرت في المجتمع الإسلامي سواء في المرحلة التي مهدت للغزو الصليبي آنذاك، أو المرحلة التي هيأت الأمة لدفع هذا الغزو، يقدم الدرس المفيد في محنتنا التي تواجه إزاء عوامل الضعف التي تعمل في كياننا من داخل والأخطار التي تهددنا من خارج!! وهذا هو ما استهدفته هذه الدراسة التحليلية للتاريخ بغية الإسهام في تبصير المسلمين وقياداتهم الفكرية والسياسية والاجتماعية والتربوية للاستراتيجية الصائبة في حشد الطاقات وتؤهلهم لمواجهة التحديات",1,1
9,هكذا ربانا جدي - علي الطنطاوي,131,3,2,11/28/2022 2:09,4/5/2023 22:25,عابدة المؤيد العظم.,دار المنارة,1,https://www.osboha180.com/rack/bookDesc?id=13,"في هذا الكتاب تلخّص عابدة العظم تجربتها الفريدة في مجال التّربية مع جدّها علي الطّنطاوي رحمه اللّه، الذي تميّز بأسلوبه البلاغيّ الذي يجذب السّامع، كما تفرّد رحمه اللّه بتجربته الجميلة في تربية بناته وأطفالهنّ.
وقد ركّزت الكاتبة على تسعة نقاط مهمّة تناولتها بالتفصيل وضرب الأمثلة من واقع حياة الشّيخ رحمه اللّه. وكانت بداية هذا الكتاب عبارة عن مقالات منشورة في مجلّة المجتمع الكويتيّة ثمّ ضمّتها الكاتبة في كتاب واحد ليستفيد منه الجميع.",1,1
10,أنا وأخواتها,370,6,1,11/28/2022 2:09,4/4/2023 2:07,سلمان العودة,مؤسسة الاسلام اليوم,1,https://www.osboha180.com/evaluation/books/310.pdf,"رحلة استكشافيّة لأعماق الذّات، ومحاولة إزالة ""مساحيق"" التصنّع وركام التّجاهل، وتسليط الضّوء على المنطقة الرّمادية ما بين حقيقة الذّات وصورتها.
كتاب «أنا و أخواتها»  يعرض 48 عنوانا أدبيّا يدور في نطاق النفس البشرية، بأسلوب سهل وصياغة رشيقة تبدأ في الغالب بشكل قصصيّ ثم تستمرّ في عرض المشكلة بكافّة جوانبها، مرورا بالتّجارب الحياتيّة المختلفة، ووصولا إلى الحلول، كاشفاً عن إرهاصات تضخّم الذّات، ومفهوم ""نقد الذات"" و""المصارحة"" والكشف عن حقيقة النّفس ومدى ضآلتها أو تضخّمها، واستبدادها الخفيّ إضافة إلى المزيد من الجوانب المحيطة بها كالتصنّع والخوف والإدمان والعشق والتردّد والخجل واليأس والخيال والشّهرة والحريّة والموهبة والشكّ، وكلّ ما يحيط بجوانبها.",1,1
11,قصة الاندلس من الفتح الى السقوط,800,5,2,11/28/2022 2:09,4/15/2023 6:03,راغب السرجاني,مؤسسة إقرأ,1,https://www.osboha180.com/evaluation/books/311.pdf,يعتبر تاريخ الأندلس من أهم الفترات في التاريخ الإسلامي؛ حيث حكَمَ المُسلِمون الأندلس أكثر من ثمانية قرونٍ، ازدهَرَ فيها المُسلِمون ازدِهارًا كبيرًا، وتقدَّموا في جميع مناحِي الحياة تقدُّمًا أذهلَ العالم كلَّه، وحقَّقوا انتِصارات كثيرة على أعدائِهم، حتى وقعَت الانقسامات والانشقاقات بين صفوف المسلمين، حتى استعانَ بعضُهم بالأعداء على إخوانِهم المُسلمين، ثم دبَّت الهزيمة النفسية، وبدأ الأعداء في التغلُّب على أكثر بلاد الأندلس، حتى كان آخر معقِل من معاقِل المُسلمين سقوطًا «غرناطة»، ثم وقعَت المآسِي بعد ذلك للمُسلمين لما حكَمَ الإسبان الأندلس وسامُوا أهلَها سوءَ العذاب، ثم تحوَّلَت البلادُ الإسلامية الزاهِرة إلى بلادٍ نصرانية لا تزال على هذه الحال إلى وقتنا.,1,1
